Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh)
Australia,2000,3891.963846153846,28520.418974358978,51.23102564102564,47.349487179487184,38.05692307692308,26.329487179487177,2769.8571794871796,0.29538461538461536
Australia,2001,5103.37925,25057.03525,40.703500000000005,49.09425,40.466750000000005,22.95625,2516.099,0.25575000000000003
Australia,2002,6458.4962857142855,19923.462285714286,46.52428571428572,37.495999999999995,37.87657142857143,24.408285714285714,2599.101142857143,0.24828571428571428
Australia,2003,5349.397,20259.826,49.669666666666664,48.97766666666667,42.699333333333335,24.009999999999998,2397.7953333333335,0.2786666666666667
Australia,2004,5778.616388888889,24912.972777777777,46.077777777777776,44.23638888888889,42.535555555555554,24.487777777777776,2574.218611111111,0.3025
Australia,2005,4551.563636363637,26556.791818181817,44.65636363636363,47.56212121212121,39.89727272727272,23.41060606060606,2486.9490909090905,0.24454545454545457
Australia,2006,4459.128604651163,25962.484418604654,43.10116279069767,45.50488372093023,39.807906976744185,24.746511627906976,2257.9674418604654,0.2644186046511628
Australia,2007,5074.242093023256,26616.312325581395,43.25604651162791,46.736976744186045,42.19162790697674,25.910000000000004,2653.7913953488373,0.25465116279069766
Australia,2008,5590.35487804878,24892.868780487806,47.440487804878046,42.083414634146344,41.13097560975609,24.516585365853658,2596.9448780487805,0.25585365853658537
Australia,2009,4753.078888888888,21855.41888888889,43.986222222222224,43.50644444444444,40.028,24.12533333333333,2250.044,0.23666666666666666
Australia,2010,4393.031891891892,22231.041081081083,49.37540540540541,43.27054054054054,38.29486486486487,25.34891891891892,2626.3183783783784,0.2748648648648649
Australia,2011,4743.842826086956,27791.481304347824,45.87065217391305,46.31391304347826,40.65630434782609,24.774347826086956,2557.0565217391304,0.271304347826087
Australia,2012,5042.22243902439,27735.057073170734,56.30341463414634,47.563658536585365,37.980000000000004,25.8509756097561,2739.4660975609754,0.26609756097560977
Australia,2013,4996.171304347826,23350.908260869564,46.77956521739131,44.62239130434783,41.6445652173913,26.21804347826087,2717.993043478261,0.3173913043478261
Australia,2014,4939.533214285714,25364.75142857143,42.41125,48.79696428571429,38.97660714285714,26.439642857142854,2573.672857142857,0.2969642857142857
Australia,2015,4921.2053703703705,24961.51851851852,48.95074074074074,43.87592592592593,37.44388888888889,24.65888888888889,2672.705740740741,0.24481481481481482
Australia,2016,4972.720588235294,25890.651470588236,50.62088235294117,43.85970588235294,41.855294117647055,22.337058823529414,2355.2926470588236,0.2520588235294118
Australia,2017,5061.5668749999995,25326.741250000003,45.99520833333333,40.23916666666667,41.791666666666664,24.801666666666666,2674.0852083333334,0.25416666666666665
Australia,2018,5890.945128205128,26945.71769230769,54.042051282051276,47.76205128205128,39.542307692307695,23.657692307692308,2462.941282051282,0.25461538461538463
Australia,2019,5405.1161111111105,25514.67888888889,48.1175,43.47833333333333,41.211666666666666,23.575000000000003,2677.2033333333334,0.2622222222222222
Australia,2020,4703.6725,26129.686999999998,49.16675,40.378750000000004,40.5225,27.06975,2371.8305,0.24075000000000002
Australia,2021,5022.600256410256,28094.04846153846,43.379230769230766,46.74871794871795,38.723076923076924,23.187179487179485,2763.3005128205127,0.26076923076923075
Australia,2022,5319.52025,26682.76325,46.67875,44.33525,38.423,26.02675,2748.442,0.2565
Australia,2023,4960.1241666666665,25299.5425,53.01361111111111,44.270833333333336,41.125,25.76361111111111,2942.3372222222224,0.3194444444444444
Australia,2024,5161.180681818182,24888.194545454546,49.57113636363636,49.088863636363634,39.52363636363636,25.832954545454548,2486.4713636363635,0.2925
Brazil,2000,3685.2028125,29793.7040625,48.048125,47.801875,42.1934375,24.990625,2681.0678125,0.26187499999999997
Brazil,2001,4805.858571428572,26107.75142857143,45.09171428571429,47.10457142857143,43.53457142857143,25.58,2631.354,0.23942857142857146
Brazil,2002,4724.994242424243,27610.413333333334,47.07272727272728,43.664242424242424,38.233333333333334,24.945757575757575,2676.5751515151514,0.27454545454545454
Brazil,2003,5253.647073170731,27598.81487804878,45.27170731707317,46.92146341463415,41.565609756097565,24.711951219512198,2952.3060975609756,0.26926829268292685
Brazil,2004,4923.295945945946,27587.250540540543,50.24702702702702,49.53081081081081,39.68162162162162,23.526486486486487,2376.8594594594597,0.2472972972972973
Brazil,2005,4817.981351351351,27403.589459459457,40.59243243243243,46.483513513513515,39.18864864864865,26.845135135135134,2563.0813513513513,0.29783783783783785
Brazil,2006,4684.611,24060.02975,47.55075,43.86675,44.92375,23.99525,2670.1855,0.22774999999999998
Brazil,2007,5238.441891891892,27780.814324324325,43.714594594594594,45.255945945945946,42.17162162162162,24.670540540540543,2691.2310810810814,0.2989189189189189
Brazil,2008,5149.58,22635.724054054055,40.27945945945946,35.36486486486486,39.21135135135135,24.833513513513516,2244.2599999999998,0.23648648648648649
Brazil,2009,4677.561333333333,21825.191666666666,48.480333333333334,40.699333333333335,39.915,25.721666666666668,2463.381,0.266
Brazil,2010,4818.4940625,24038.7134375,54.6084375,45.9659375,41.2346875,24.666249999999998,2528.26875,0.24875
Brazil,2011,5352.163421052632,27187.13447368421,45.61210526315789,40.14605263157895,42.08631578947368,26.853157894736842,2156.902894736842,0.2889473684210526
Brazil,2012,4808.2921428571435,25048.45238095238,43.98142857142857,41.632619047619045,43.1197619047619,24.856190476190477,2628.387857142857,0.2811904761904762
Brazil,2013,3720.967105263158,26678.136315789474,52.77263157894737,47.90289473684211,38.738684210526316,22.567105263157895,2531.470263157895,0.2839473684210526
Brazil,2014,4548.1842,23736.031600000002,41.7992,43.319399999999995,41.2636,26.573400000000003,2430.3064,0.2836
Brazil,2015,4465.900810810811,23889.46702702703,42.94135135135135,48.586486486486486,40.888648648648655,26.215675675675676,2246.3632432432432,0.25216216216216214
Brazil,2016,5203.026585365854,26285.64463414634,49.43048780487805,42.40975609756097,38.45414634146342,26.601219512195126,2408.8453658536587,0.2965853658536585
Brazil,2017,5033.753863636363,23482.26909090909,53.24795454545454,44.73068181818182,40.046136363636364,22.47909090909091,2361.2940909090908,0.24954545454545454
Brazil,2018,4574.365102040817,24011.54693877551,49.6030612244898,45.08612244897959,37.56979591836735,24.425918367346938,2743.768979591837,0.24836734693877552
Brazil,2019,4929.6313513513505,27712.210270270272,40.54243243243243,42.16513513513513,39.19081081081081,24.660810810810812,2659.2216216216216,0.3005405405405406
Brazil,2020,4965.311296296296,21371.688148148147,45.09740740740741,47.80777777777777,38.699629629629634,26.96851851851852,2506.4331481481486,0.26740740740740737
Brazil,2021,4532.8255,22826.0275,46.182,42.50025,41.150999999999996,25.73675,2689.68125,0.30425
Brazil,2022,6211.333636363636,20732.59575757576,53.551212121212124,47.268181818181816,39.18,24.401212121212122,2416.459696969697,0.31575757575757574
